"","Contains fear","containes excitement"
"aaai",0.152354329824448,0.84764564037323
"aapl",0.29418683052063,0.70581316947937
"abandon",0.623908042907715,0.37609201669693
"abandoned",0.825981259346008,0.174018710851669
"abaucin",0.288734525442123,0.711265504360199
"abb",0.144106954336166,0.855893015861511
"abba",0.193480893969536,0.806519091129303
"abdel",0.281361043453217,0.718638896942139
"abdelhadi",0.221761256456375,0.778238773345947
"abducted",0.67862606048584,0.321373969316483
"ability",0.0720011219382286,0.927998900413513
"abolish",0.910066962242126,0.0899330601096153
"abortion",0.563921570777893,0.436078459024429
"abroad",0.181382060050964,0.818617939949036
"absence",0.697127342224121,0.302872598171234
"absent",0.694195687770844,0.305804342031479
"absolute",0.134331658482552,0.86566835641861
"absolutely",0.0713928714394569,0.928607165813446
"absolutereportscom",0.459050089120865,0.540949881076813
"absorb",0.218641012907028,0.781358957290649
"absorbed",0.635055959224701,0.364944010972977
"abstraction",0.754710972309113,0.245289012789726
"abuse",0.781535863876343,0.218464136123657
"abused",0.667787730693817,0.332212269306183
"abusing",0.572612881660461,0.427387088537216
"ac",0.13322377204895,0.86677622795105
"academia",0.195367723703384,0.804632246494293
"academic",0.12512880563736,0.874871253967285
"accelerate",0.0192440841346979,0.980755925178528
"accelerated",0.0125838965177536,0.987416088581085
"accelerating",0.0124163283035159,0.987583637237549
"acceleration",0.0135573362931609,0.986442685127258
"accenture",0.34831514954567,0.651684820652008
"accept",0.0442779436707497,0.955722093582153
"acceptable",0.424932241439819,0.575067758560181
"accepted",0.0515244081616402,0.94847559928894
"accepting",0.0470841377973557,0.952915847301483
"access",0.049887515604496,0.950112521648407
"accessibility",0.0765548795461655,0.923445105552673
"accessible",0.0726494938135147,0.927350521087646
"accessing",0.0663427114486694,0.933657288551331
"accident",0.195027932524681,0.804972052574158
"accommodation",0.218133792281151,0.781866192817688
"accompanied",0.0734653547406197,0.926534593105316
"accompanying",0.172112241387367,0.827887773513794
"accomplish",0.0945028737187386,0.905497074127197
"accomplished",0.0480132400989532,0.951986730098724
"accord",0.163082018494606,0.83691793680191
"accordance",0.110414035618305,0.889585971832275
"account",0.286454796791077,0.713545203208923
"accountability",0.276670068502426,0.723329961299896
"accountable",0.284570872783661,0.715429127216339
"accounted",0.425360083580017,0.574639976024628
"accounting",0.374900847673416,0.625099122524261
"accrual",0.258144348859787,0.741855621337891
"accrued",0.765518844127655,0.234481126070023
"accumulate",0.250636696815491,0.749363303184509
"accuracy",0.551609396934509,0.448390603065491
"accurate",0.0666217282414436,0.933378279209137
"accurately",0.188588127493858,0.81141185760498
"accused",0.673438847064972,0.326561123132706
"achieve",0.016687011346221,0.983313024044037
"achieved",0.0180047415196896,0.981995284557343
"achievement",0.010220205411315,0.989779829978943
"achieving",0.0248000137507915,0.975199937820435
"achosi",0.197625860571861,0.802374184131622
"acinetobacter",0.42357811331749,0.576421856880188
"acknowledged",0.477956980466843,0.522042989730835
"acknowledges",0.776022970676422,0.223977074027061
"acquire",0.142275676131248,0.85772430896759
"acquired",0.0453979671001434,0.954602003097534
"acquiring",0.0107248732820153,0.98927515745163
"acquisition",0.0912335962057114,0.908766448497772
"acquitted",0.0702425688505173,0.929757475852966
"act",0.119774885475636,0.880225121974945
"acted",0.202133327722549,0.797866642475128
"acting",0.0834587514400482,0.916541218757629
"action",0.0759821161627769,0.924017906188965
"activate",0.0732939168810844,0.926706075668335
"activated",0.109647355973721,0.890352606773376
"active",0.0312421452254057,0.96875786781311
"actively",0.0518498905003071,0.948150038719177
"activist",0.0616374872624874,0.9383624792099
"activity",0.0229790154844522,0.977020978927612
"actor",0.116776213049889,0.883223831653595
"actual",0.0830210447311401,0.91697895526886
"acumen",0.0429530292749405,0.957046926021576
"acute",0.23760724067688,0.76239275932312
"ad",0.14986227452755,0.850137770175934
"adapt",0.273372411727905,0.726627588272095
"adaptability",0.256641894578934,0.743358135223389
"adaptable",0.308681219816208,0.691318809986115
"adapted",0.28327140212059,0.716728568077087
"adapting",0.279382973909378,0.720617055892944
"adaptive",0.29848775267601,0.701512217521667
